date;animals;grass;avg energy;avg life;avg children
160;3;234;128;135;0
161;3;235;127;135;0
162;3;236;126;135;0
163;3;237;125;135;0
164;3;238;124;135;0
165;3;239;123;135;0
166;3;240;122;135;0
167;3;241;121;135;0
168;3;242;120;135;0
169;3;243;119;135;0
170;3;244;118;135;0
171;3;245;117;135;0
172;3;246;116;135;0
173;3;247;115;135;0
174;3;248;114;135;0
175;3;249;113;135;0
176;3;250;112;135;0
177;3;251;111;135;0
178;3;252;110;135;0
179;3;252;138;135;0
180;3;253;137;135;0
181;3;254;136;135;0
182;3;255;135;135;0
183;3;255;154;135;0
184;3;256;153;135;0
185;3;257;152;135;0
186;3;258;151;135;0
187;3;259;150;135;0
188;3;260;149;135;0
189;3;261;148;135;0
190;3;262;147;135;0
191;3;263;146;135;0
192;3;264;145;135;0
193;3;265;144;135;0
194;3;266;143;135;0
195;3;267;142;135;0
196;3;268;141;135;0
197;3;269;140;135;0
198;3;270;139;135;0
199;3;271;138;135;0
200;3;272;137;135;0
201;3;273;136;135;0
202;3;274;135;135;0
203;3;275;134;135;0
204;3;276;133;135;0
205;3;277;132;135;0
206;3;278;131;135;0
207;3;279;130;135;0
208;3;280;129;135;0
209;3;281;128;135;0
210;3;282;127;135;0
211;3;283;126;135;0
212;3;284;125;135;0
213;3;285;124;135;0
214;3;286;123;135;0
215;3;287;122;135;0
216;3;288;121;135;0
217;3;289;120;135;0
218;3;290;119;135;0
219;3;291;118;135;0
220;3;292;117;135;0
221;3;293;116;135;0
222;3;293;166;135;0
223;3;294;165;135;0
224;3;295;164;135;0
225;3;296;163;135;0
226;3;297;162;135;0
227;3;298;161;135;0
228;3;299;160;135;0
229;3;300;159;135;0
230;3;301;158;135;0
231;3;302;157;135;0
232;3;303;156;135;0
233;3;304;155;135;0
234;3;305;154;135;0
235;3;306;153;135;0
236;3;307;152;135;0
237;3;308;151;135;0
238;3;309;150;135;0
239;3;310;149;135;0
240;3;311;148;135;0
241;3;312;147;135;0
242;3;313;146;135;0
243;3;314;145;135;0
244;3;315;144;135;0
245;3;316;143;135;0
246;3;317;142;135;0
247;3;318;141;135;0
248;3;319;140;135;0
249;3;320;139;135;0
250;3;320;194;135;0
251;3;321;193;135;0
252;3;322;192;135;0
253;3;323;191;135;0
254;3;323;238;135;0
255;3;324;237;135;0
256;3;325;236;135;0
257;3;326;235;135;0
258;3;327;234;135;0
259;3;328;233;135;0
260;3;329;232;135;0
261;3;330;231;135;0
262;3;331;230;135;0
263;3;332;229;135;0
264;3;333;228;135;0
265;3;334;227;135;0
266;3;335;226;135;0
267;3;336;225;135;0
268;3;337;224;135;0
269;3;338;223;135;0
270;3;339;222;135;0
271;3;340;221;135;0
272;3;341;220;135;0
273;3;342;219;135;0
274;3;343;218;135;0
275;3;344;217;135;0
276;3;344;249;135;0
277;3;345;248;135;0
278;3;346;247;135;0
279;3;347;246;135;0
280;3;348;245;135;0
281;3;349;244;135;0
282;3;350;243;135;0
283;3;351;242;135;0
284;3;352;241;135;0
285;3;353;240;135;0
286;3;354;239;135;0
287;3;355;238;135;0
288;3;356;237;135;0
289;3;357;236;135;0
290;3;358;235;135;0
291;3;359;234;135;0
292;3;360;233;135;0
293;3;361;232;135;0
294;3;362;231;135;0
295;3;363;230;135;0
296;3;364;229;135;0
297;3;365;228;135;0
298;3;366;227;135;0
299;3;367;226;135;0
300;3;368;225;135;0
301;3;369;224;135;0
302;3;370;223;135;0
303;3;371;222;135;0
304;3;372;221;135;0
305;3;372;254;135;0
306;3;373;253;135;0
307;3;374;252;135;0
308;3;375;251;135;0
309;3;376;250;135;0
310;3;377;249;135;0
311;3;378;248;135;0
312;3;379;247;135;0
313;3;380;246;135;0
314;3;381;245;135;0
315;3;382;244;135;0
316;3;383;243;135;0
317;3;384;242;135;0
318;3;385;241;135;0
319;3;386;240;135;0
320;3;387;239;135;0
321;3;388;238;135;0
322;3;389;237;135;0
323;3;390;236;135;0
324;3;391;235;135;0
325;3;392;234;135;0
326;3;392;278;135;0
327;3;393;277;135;0
328;3;394;276;135;0
329;3;395;275;135;0
330;3;396;274;135;0
331;3;397;273;135;0
332;3;398;272;135;0
333;3;399;271;135;0
334;3;400;270;135;0
335;3;401;269;135;0
336;3;402;268;135;0
337;3;403;267;135;0
338;3;404;266;135;0
339;3;405;265;135;0
340;3;406;264;135;0
341;3;407;263;135;0
342;3;408;262;135;0
343;3;409;261;135;0
344;3;410;260;135;0
345;3;411;259;135;0
346;3;412;258;135;0
347;3;413;257;135;0
348;3;414;256;135;0
349;3;415;255;135;0
350;3;416;254;135;0
351;3;417;253;135;0
352;3;418;252;135;0
353;3;419;251;135;0
354;3;420;250;135;0
355;3;421;249;135;0
356;3;422;248;135;0
357;3;423;247;135;0
358;3;424;246;135;0
359;3;425;245;135;0
360;3;426;244;135;0
361;3;427;243;135;0
362;3;428;242;135;0
363;3;429;241;135;0
364;3;430;240;135;0
365;3;431;239;135;0
366;3;432;238;135;0
367;3;433;237;135;0
368;3;434;236;135;0
369;3;435;235;135;0
370;3;436;234;135;0
371;3;437;233;135;0
372;3;438;232;135;0
373;3;439;231;135;0
374;3;440;230;135;0
375;3;441;229;135;0
376;3;442;228;135;0
377;3;443;227;135;0
378;3;444;226;135;0
379;3;445;225;135;0
380;3;446;224;135;0
381;3;447;223;135;0
382;3;448;222;135;0
383;3;449;221;135;0
384;3;450;220;135;0
385;3;451;219;135;0
386;3;452;218;135;0
387;3;453;217;135;0
388;3;454;216;135;0
389;3;455;215;135;0
390;3;456;214;135;0
391;3;457;213;135;0
392;3;458;212;135;0
393;3;459;211;135;0
394;3;460;210;135;0
395;3;461;209;135;0
396;3;462;208;135;0
397;3;463;207;135;0
398;3;464;206;135;0
399;3;465;205;135;0
400;3;466;204;135;0
401;3;467;203;135;0
402;3;468;202;135;0
403;3;469;201;135;0
404;3;470;200;135;0
405;3;471;199;135;0
406;3;472;198;135;0
407;3;473;197;135;0
408;3;474;196;135;0
409;3;475;195;135;0
410;3;476;194;135;0
411;3;477;193;135;0
412;3;478;192;135;0
413;3;479;191;135;0
414;3;480;190;135;0
415;3;481;189;135;0
416;3;482;188;135;0
417;3;483;187;135;0
418;3;484;186;135;0
419;3;485;185;135;0

avg;5.1571428571428575;273.8809523809524;148.91904761904763;96.75714285714285;0.023809523809523808
